2010-12-12,98
2011-01-09,05
2012-04-02,3
2012-04-02,8443
2012-04-02,83
2012-04-02,83
2012-04-02,3
2012-11-30,91
2012-11-30,91
2013-04-02,3
2013-04-28,24
2014-02-17,05
2014-07-12,43
2014-07-12,269
2014-07-12,2
2014-07-12,65
2014-07-12,241
2014-11-30,908162171
2014-11-30,9071
2014-11-30,1
2014-11-30,12
2015-02-17,1344959305
2015-02-17,05
2015-02-17,105
2015-02-17,105
2015-04-28,1772319024
2015-04-28,17024
2015-04-28,124
2015-04-28,24
2015-07-12,2
2015-08-28,24
2016-01-05,2096678077
2016-01-05,277
2016-01-05,277
2016-01-05,77
2016-01-05,77
2016-01-09,2128775505
2016-01-09,21505
2016-01-09,05
2016-01-09,05
2016-12-12,20898
2016-12-12,298
2016-12-12,298
2016-12-12,98
2016-12-12,98
2017-01-09,205
2018-02-17,05
2018-07-01,264063969
2018-07-01,29
2018-07-01,29
2018-07-01,9
2018-07-01,9
2019-01-05,2096678077
2019-07-01,2669
2020-05-30,2041395386
2020-05-30,86
2020-05-30,20386
2020-05-30,286
2020-05-30,86
2020-05-30,86
